Currency,Event,Time_GMT,Impact,Signal,Actual,Forecast,Previous
EUR,Spanish Unemployment Change,03/10/2023 08:00,Low,worse,19.8K,-12.2K,24.8K
EUR,German Bank Holiday,03/10/2023 00:00,Non-Economic,,,,
GBP,30-y Bond Auction,03/10/2023 10:03,Low,,4.94|2.8,,4.70|2.4
CAD,Gov Council Member Vincent Speaks,03/10/2023 13:25,Low,,,,
USD,JOLTS Job Openings,03/10/2023 15:00,High,better,9.61M,8.81M,8.92M
USD,IBD/TIPP Economic Optimism,03/10/2023 00:00,Low,worse,36.3,41.6,43.2
USD,Wards Total Vehicle Sales,03/10/2023 00:00,Low,better,15.7M,15.4M,15.0M
NZD,GDT Price Index,03/10/2023 16:11,Low,,4.40%,,4.60%
JPY,BOJ Summary of Opinions,02/10/2023 00:50,Low,,,,
JPY,Tankan Manufacturing Index,02/10/2023 00:00,Low,better,9,6,5
JPY,Tankan Non-Manufacturing Index,02/10/2023 00:00,Low,better,27,24,23
AUD,MI Inflation Gauge m/m,02/10/2023 01:00,Low,,0.00%,,0.20%
CNY,Bank Holiday,02/10/2023 00:00,Non-Economic,,,,
JPY,Final Manufacturing PMI,02/10/2023 01:30,Low,,48.5,48.6,48.6
GBP,Nationwide HPI m/m,02/10/2023 07:00,Low,better,0.00%,-0.40%,-0.80%
CHF,Retail Sales y/y,02/10/2023 07:30,Low,,-1.80%,-1.80%,-2.50%
EUR,Spanish Manufacturing PMI,02/10/2023 08:15,Low,better,47.7,46.6,46.5
CHF,Manufacturing PMI,02/10/2023 08:30,Low,better,44.9,40.6,39.9
EUR,Italian Manufacturing PMI,02/10/2023 08:45,Low,better,46.8,45.8,45.4
EUR,French Final Manufacturing PMI,02/10/2023 08:50,Low,better,44.2,43.6,43.6
EUR,German Final Manufacturing PMI,02/10/2023 08:55,Low,,39.6,39.8,39.8
EUR,Final Manufacturing PMI,02/10/2023 09:00,Low,,43.4,43.4,43.4
EUR,Italian Monthly Unemployment Rate,02/10/2023 00:00,Low,better,7.30%,7.70%,7.50%
GBP,Final Manufacturing PMI,02/10/2023 09:30,Low,,44.3,44.2,44.2
EUR,Unemployment Rate,02/10/2023 10:00,Low,,6.40%,6.40%,6.50%
CAD,Bank Holiday,02/10/2023 00:00,Non-Economic,,,,
CAD,Manufacturing PMI,02/10/2023 14:30,Low,,47.5,,48
USD,Final Manufacturing PMI,02/10/2023 14:45,Low,better,49.8,48.9,48.9
USD,ISM Manufacturing PMI,02/10/2023 15:00,High,better,49,47.8,47.6
USD,ISM Manufacturing Prices,02/10/2023 00:00,Medium,worse,43.8,48.9,48.4
USD,Construction Spending m/m,02/10/2023 00:00,Low,,0.50%,0.60%,0.90%
GBP,MPC Member Mann Speaks,02/10/2023 16:00,Low,,,,
USD,Fed Chair Powell Speaks,02/10/2023 00:00,High,,,,
USD,FOMC Member Harker Speaks,02/10/2023 00:00,Medium,,,,
USD,FOMC Member Barr Speaks,02/10/2023 18:00,Low,,,,
NZD,NZIER Business Confidence,02/10/2023 22:00,Low,,-52,,-63
CNY,Caixin Manufacturing PMI,01/10/2023 02:45,Medium,worse,50.6,51.1,51
CNY,Caixin Services PMI,01/10/2023 00:00,Medium,worse,50.2,52,51.8
AUD,Bank Holiday,01/10/2023 00:00,Non-Economic,,,,
NZD,Building Consents m/m,01/10/2023 22:45,Low,,-6.70%,,-5.40%
CNY,Manufacturing PMI,30/09/2023 02:30,High,,50.2,50.2,49.7
CNY,Non-Manufacturing PMI,30/09/2023 00:00,Medium,,51.7,51.5,51
JPY,BOJ Gov Ueda Speaks,30/09/2023 07:01,High,,,,
GBP,MPC Member Cunliffe Speaks,30/09/2023 15:00,Low,,,,
AUD,Daylight Saving Time Shift,30/09/2023 17:00,Non-Economic,,,,
JPY,Tokyo Core CPI y/y,29/09/2023 00:30,Medium,worse,2.50%,2.60%,2.80%
JPY,Unemployment Rate,29/09/2023 00:00,Low,worse,2.70%,2.60%,2.70%
JPY,Prelim Industrial Production m/m,29/09/2023 00:50,Low,better,0.00%,-0.70%,-1.80%
JPY,Retail Sales y/y,29/09/2023 00:00,Low,better,7.00%,6.60%,7.00%
CNY,Bank Holiday,29/09/2023 00:00,Non-Economic,,,,
AUD,Private Sector Credit m/m,29/09/2023 02:30,Low,better,0.40%,0.30%,0.30%
JPY,Consumer Confidence,29/09/2023 06:00,Low,worse,35.2,36.2,36.2
JPY,Housing Starts y/y,29/09/2023 00:00,Low,worse,-9.40%,-8.70%,-6.70%
EUR,German Import Prices m/m,29/09/2023 07:00,Low,worse,0.40%,0.60%,-0.60%
EUR,German Retail Sales m/m,29/09/2023 00:00,Low,worse,-1.20%,0.50%,-1.00%
GBP,Current Account,29/09/2023 00:00,Low,worse,-25.3B,-14.5B,-15.2B
GBP,Final GDP q/q,29/09/2023 00:00,Low,,0.20%,0.20%,0.20%
GBP,Revised Business Investment q/q,29/09/2023 00:00,Low,better,4.10%,3.20%,3.40%
EUR,French Consumer Spending m/m,29/09/2023 07:45,Low,worse,-0.50%,-0.40%,0.40%
EUR,French Prelim CPI m/m,29/09/2023 00:00,Low,worse,-0.50%,-0.30%,1.00%
CHF,KOF Economic Barometer,29/09/2023 08:00,Low,better,95.9,90.6,96.2
EUR,ECB President Lagarde Speaks,29/09/2023 08:40,Medium,,,,
EUR,German Unemployment Change,29/09/2023 08:55,Low,better,10K,15K,20K
GBP,M4 Money Supply m/m,29/09/2023 09:30,Low,,0.20%,0.20%,-0.60%
GBP,Mortgage Approvals,29/09/2023 00:00,Low,worse,45K,48K,50K
GBP,Net Lending to Individuals m/m,29/09/2023 00:00,Low,better,2.9B,1.5B,1.5B
EUR,Core CPI Flash Estimate y/y,29/09/2023 10:00,Medium,worse,4.50%,4.80%,5.30%
EUR,CPI Flash Estimate y/y,29/09/2023 00:00,Medium,worse,4.30%,4.50%,5.20%
EUR,Italian Prelim CPI m/m,29/09/2023 00:00,Low,better,0.20%,-0.10%,0.30%
CAD,GDP m/m,29/09/2023 13:30,High,worse,0.00%,0.10%,-0.20%
USD,Core PCE Price Index m/m,29/09/2023 00:00,High,worse,0.10%,0.20%,0.20%
USD,Goods Trade Balance,29/09/2023 00:00,Low,better,-84.3B,-91.4B,-90.9B
USD,Personal Income m/m,29/09/2023 00:00,Low,,0.40%,0.40%,0.20%
USD,Personal Spending m/m,29/09/2023 00:00,Low,worse,0.40%,0.50%,0.90%
USD,Prelim Wholesale Inventories m/m,29/09/2023 00:00,Low,,-0.10%,-0.10%,-0.20%
USD,Chicago PMI,29/09/2023 14:45,Medium,worse,44.1,47.5,48.7
USD,Revised UoM Consumer Sentiment,29/09/2023 15:00,High,,68.1,67.7,67.7
USD,Revised UoM Inflation Expectations,29/09/2023 00:00,Low,,3.20%,,3.10%
NZD,ANZ Business Confidence,28/09/2023 01:00,Low,,1.5,,-3.7
AUD,Retail Sales m/m,28/09/2023 02:30,Medium,worse,0.20%,0.30%,0.50%
EUR,German Prelim CPI m/m,28/09/2023 00:00,High,,0.30%,0.30%,0.30%
EUR,Spanish Flash CPI y/y,28/09/2023 08:00,High,,3.50%,3.50%,2.60%
EUR,Italian 10-y Bond Auction,28/09/2023 10:16,Low,,4.93|1.4,,4.20|1.6
USD,Final GDP q/q,28/09/2023 13:30,High,worse,2.10%,2.20%,2.10%
USD,Unemployment Claims,28/09/2023 00:00,High,better,204K,214K,202K
USD,Final GDP Price Index q/q,28/09/2023 00:00,Medium,worse,1.70%,2.00%,2.00%
USD,FOMC Member Goolsbee Speaks,28/09/2023 14:00,Low,,,,
USD,Pending Home Sales m/m,28/09/2023 15:00,Medium,worse,-7.10%,-1.10%,0.50%
EUR,ECB Economic Bulletin,28/09/2023 15:03,Low,,,,
USD,Natural Gas Storage,28/09/2023 15:30,Low,,90B,90B,64B
USD,FOMC Member Cook Speaks,28/09/2023 18:00,Low,,,,
USD,Fed Chair Powell Speaks,28/09/2023 21:00,High,,,,
JPY,Monetary Policy Meeting Minutes,27/09/2023 00:50,Low,,,,
AUD,CPI y/y,27/09/2023 02:30,High,,5.20%,5.20%,4.90%
EUR,German GfK Consumer Climate,27/09/2023 07:00,Low,worse,-26.5,-25.8,-25.6
CHF,Credit Suisse Economic Expectations,27/09/2023 09:00,Low,,-27.6,,-38.6
EUR,M3 Money Supply y/y,27/09/2023 00:00,Low,worse,-1.30%,-1.10%,-0.40%
EUR,Private Loans y/y,27/09/2023 00:00,Low,worse,1.00%,1.20%,1.30%
EUR,German 10-y Bond Auction,27/09/2023 10:31,Low,,2.78|2.0,,2.63|1.7
USD,FOMC Member Kashkari Speaks,27/09/2023 13:00,Low,,,,
USD,Core Durable Goods Orders m/m,27/09/2023 13:30,Medium,better,0.40%,0.20%,0.40%
USD,Durable Goods Orders m/m,27/09/2023 00:00,Medium,better,0.20%,-0.50%,-5.60%
CHF,SNB Quarterly Bulletin,27/09/2023 14:00,Low,,,,
USD,Crude Oil Inventories,27/09/2023 15:30,Low,better,-2.2M,-0.7M,-2.1M
CHF,SNB Chairman Jordan Speaks,27/09/2023 17:45,Medium,,,,
JPY,SPPI y/y,26/09/2023 00:50,Low,better,2.10%,1.80%,1.70%
JPY,BOJ Core CPI y/y,26/09/2023 06:00,Low,better,3.30%,3.20%,3.30%
GBP,10-y Bond Auction,26/09/2023 10:02,Low,,4.32|2.6,,4.40|2.4
CNY,CB Leading Index m/m,26/09/2023 14:00,Low,,-0.30%,,-0.50%
USD,HPI m/m,26/09/2023 00:00,Low,better,0.80%,0.40%,0.40%
USD,S&P/CS Composite-20 HPI y/y,26/09/2023 14:03,Medium,,0.10%,0.00%,-1.20%
USD,Richmond Manufacturing Index,26/09/2023 14:59,Medium,better,5,-6,-7
USD,CB Consumer Confidence,26/09/2023 15:00,High,worse,103,105.5,108.7
USD,New Home Sales,26/09/2023 00:00,Medium,worse,675K,699K,739K
USD,FOMC Member Bowman Speaks,26/09/2023 18:30,Low,,,,
JPY,BOJ Gov Ueda Speaks,25/09/2023 06:35,High,,,,
EUR,German ifo Business Climate,25/09/2023 09:00,High,better,85.7,85.1,85.8
GBP,CBI Realized Sales,25/09/2023 11:00,Low,better,-14,-33,-44
EUR,ECB President Lagarde Speaks,25/09/2023 14:00,Medium,,,,
EUR,Belgian NBB Business Climate,25/09/2023 00:00,Low,worse,-14.4,-10.3,-14.9
USD,FOMC Member Kashkari Speaks,25/09/2023 23:00,Low,,,,
NZD,Daylight Saving Time Shift,23/09/2023 15:00,Non-Economic,,,,
AUD,Flash Manufacturing PMI,22/09/2023 00:00,Low,,48.2,,49.6
AUD,Flash Services PMI,22/09/2023 00:00,Low,,50.5,,47.8
GBP,GfK Consumer Confidence,22/09/2023 00:01,Low,better,-21,-26,-25
JPY,National Core CPI y/y,22/09/2023 00:30,Low,better,3.10%,3.00%,3.10%
JPY,Flash Manufacturing PMI,22/09/2023 01:30,Low,worse,48.6,49.9,49.6
JPY,Monetary Policy Statement,22/09/2023 03:52,High,,,,
JPY,BOJ Policy Rate,22/09/2023 00:00,Medium,,-0.10%,-0.10%,-0.10%
GBP,Retail Sales m/m,22/09/2023 07:00,High,worse,0.40%,0.50%,-1.10%
JPY,BOJ Press Conference,22/09/2023 07:30,High,,,,
EUR,French Flash Manufacturing PMI,22/09/2023 08:15,High,worse,43.6,46.2,46
EUR,French Flash Services PMI,22/09/2023 00:00,High,worse,43.9,46,46
EUR,German Flash Manufacturing PMI,22/09/2023 08:30,High,,39.8,39.5,39.1
EUR,German Flash Services PMI,22/09/2023 00:00,High,better,49.8,47.2,47.3
EUR,Flash Manufacturing PMI,22/09/2023 09:00,Medium,worse,43.4,44,43.5
EUR,Flash Services PMI,22/09/2023 00:00,Medium,better,48.4,47.7,47.9
GBP,Flash Manufacturing PMI,22/09/2023 09:30,High,better,44.2,43.3,43
GBP,Flash Services PMI,22/09/2023 00:00,High,worse,47.2,49.3,49.5
GBP,CBI Industrial Order Expectations,22/09/2023 11:00,Low,worse,-18,-16,-15
CAD,Core Retail Sales m/m,22/09/2023 13:30,Medium,better,1.00%,0.50%,-0.70%
CAD,Retail Sales m/m,22/09/2023 00:00,Medium,worse,0.30%,0.40%,0.10%
USD,FOMC Member Cook Speaks,22/09/2023 13:50,Low,,,,
USD,Flash Manufacturing PMI,22/09/2023 14:45,High,better,48.9,48.2,47.9
USD,Flash Services PMI,22/09/2023 00:00,High,worse,50.2,50.7,50.5
USD,FOMC Member Kashkari Speaks,22/09/2023 18:00,Low,,,,
AUD,RBA Bulletin,21/09/2023 02:30,Low,,,,
NZD,Credit Card Spending y/y,21/09/2023 04:00,Low,,4.20%,,4.00%
GBP,Public Sector Net Borrowing,21/09/2023 07:00,Low,worse,10.8B,9.8B,-1.2B
CHF,SNB Monetary Policy Assessment,21/09/2023 08:30,High,,,,
CHF,SNB Policy Rate,21/09/2023 00:00,High,worse,1.75%,2.00%,1.75%
CHF,SNB Press Conference,21/09/2023 09:00,High,,,,
EUR,German Buba President Nagel Speaks,21/09/2023 00:00,Low,,,,
GBP,Monetary Policy Summary,21/09/2023 12:00,High,,,,
GBP,MPC Official Bank Rate Votes,21/09/2023 00:00,High,worse,4-0-5,7-0-2,8-0-1
GBP,Official Bank Rate,21/09/2023 00:00,High,worse,5.25%,5.50%,5.25%
GBP,BOE Inflation Letter,21/09/2023 00:00,Low,,,,
CAD,NHPI m/m,21/09/2023 13:30,Low,better,0.10%,0.00%,-0.10%
USD,Unemployment Claims,21/09/2023 00:00,High,better,201K,224K,221K
USD,Philly Fed Manufacturing Index,21/09/2023 00:00,Medium,worse,-13.5,-1.1,12
USD,Current Account,21/09/2023 00:00,Low,better,-212B,-220B,-214B
EUR,ECB President Lagarde Speaks,21/09/2023 15:00,Medium,,,,
EUR,Consumer Confidence,21/09/2023 00:00,Low,worse,-18,-16,-16
USD,Existing Home Sales,21/09/2023 00:00,Medium,worse,4.04M,4.10M,4.07M
USD,CB Leading Index m/m,21/09/2023 00:00,Low,better,-0.40%,-0.50%,-0.30%
USD,Natural Gas Storage,21/09/2023 15:30,Low,,64B,65B,57B
NZD,Westpac Consumer Sentiment,21/09/2023 21:27,Low,,80.2,,83.1
NZD,Trade Balance,21/09/2023 23:45,Low,worse,-2291M,-351M,-1177M
JPY,Trade Balance,20/09/2023 00:50,Low,worse,-0.56T,-0.44T,-0.60T
AUD,MI Leading Index m/m,20/09/2023 01:30,Low,,0.00%,,0.00%
CNY,1-y Loan Prime Rate,20/09/2023 02:15,High,,3.45%,3.45%,3.45%
CNY,5-y Loan Prime Rate,20/09/2023 00:00,High,,4.20%,4.20%,4.20%
EUR,German PPI m/m,20/09/2023 07:00,Low,better,0.30%,0.10%,-1.10%
GBP,CPI y/y,20/09/2023 00:00,High,worse,6.70%,7.00%,6.80%
GBP,Core CPI y/y,20/09/2023 00:00,Low,worse,6.20%,6.80%,6.90%
GBP,PPI Input m/m,20/09/2023 00:00,Low,,0.40%,0.30%,-0.40%
GBP,PPI Output m/m,20/09/2023 00:00,Low,,0.20%,0.10%,0.20%
GBP,RPI y/y,20/09/2023 00:00,Low,worse,9.10%,9.30%,9.00%
CHF,SECO Economic Forecasts,20/09/2023 08:00,Low,,,,
GBP,HPI y/y,20/09/2023 09:30,Low,better,0.60%,0.00%,1.90%
AUD,CB Leading Index m/m,20/09/2023 15:30,Low,,0.20%,,-0.30%
USD,Crude Oil Inventories,20/09/2023 00:00,Low,better,-2.1M,-1.3M,4.0M
CAD,BOC Summary of Deliberations,20/09/2023 18:30,Low,,,,
USD,Federal Funds Rate,20/09/2023 19:00,High,,5.50%,5.50%,5.50%
USD,FOMC Economic Projections,20/09/2023 00:00,High,,,,
USD,FOMC Statement,20/09/2023 00:00,High,,,,
USD,FOMC Press Conference,20/09/2023 19:30,High,,,,
NZD,GDP q/q,20/09/2023 23:45,High,better,0.90%,0.40%,0.00%
AUD,Monetary Policy Meeting Minutes,19/09/2023 02:30,High,,,,
CHF,Trade Balance,19/09/2023 07:00,Low,worse,4.05B,4.23B,3.13B
EUR,Current Account,19/09/2023 09:00,Low,worse,20.9B,30.2B,35.8B
EUR,Final Core CPI y/y,19/09/2023 10:00,Low,,5.30%,5.30%,5.30%
EUR,Final CPI y/y,19/09/2023 00:00,Low,worse,5.20%,5.30%,5.30%
GBP,30-y Bond Auction,19/09/2023 10:11,Low,,4.70|2.4,,4.48|2.3
CAD,CPI m/m,19/09/2023 13:30,High,better,0.40%,0.20%,0.60%
CAD,Median CPI y/y,19/09/2023 00:00,High,better,4.10%,3.70%,3.90%
CAD,Trimmed CPI y/y,19/09/2023 00:00,High,better,3.90%,3.70%,3.60%
CAD,Common CPI y/y,19/09/2023 00:00,Medium,,4.80%,4.80%,4.80%
USD,Building Permits,19/09/2023 00:00,Medium,better,1.54M,1.44M,1.44M
USD,Housing Starts,19/09/2023 00:00,Low,worse,1.28M,1.44M,1.45M
CAD,Core CPI m/m,19/09/2023 13:32,Low,,0.10%,,0.50%
NZD,GDT Price Index,19/09/2023 15:54,Low,,4.60%,,2.70%
CAD,Gov Council Member Kozicki Speaks,19/09/2023 18:45,Low,,,,
NZD,Current Account,19/09/2023 23:45,Low,better,-4.21B,-4.55B,-4.66B
GBP,Rightmove HPI m/m,18/09/2023 00:01,Low,,0.40%,,-1.90%
JPY,Bank Holiday,18/09/2023 00:00,Non-Economic,,,,
EUR,German Buba Monthly Report,18/09/2023 11:00,Low,,,,
CAD,Housing Starts,18/09/2023 13:15,Low,worse,253K,257K,255K
CAD,IPPI m/m,18/09/2023 13:30,Low,better,1.30%,0.50%,-0.10%
CAD,RMPI m/m,18/09/2023 00:00,Low,worse,3.00%,3.80%,3.50%
USD,NAHB Housing Market Index,18/09/2023 15:00,Low,worse,45,50,50
USD,TIC Long-Term Purchases,18/09/2023 21:00,Low,worse,8.8B,116.5B,186.0B
NZD,BusinessNZ Services Index,17/09/2023 23:30,Low,,47.1,,48
EUR,ECOFIN Meetings,16/09/2023 00:00,Low,,,,
CNY,New Home Prices m/m,15/09/2023 02:30,Low,,-0.29%,,-0.23%
CNY,Industrial Production y/y,15/09/2023 03:00,High,better,4.50%,3.90%,3.70%
CNY,Retail Sales y/y,15/09/2023 00:00,Medium,better,4.60%,3.00%,2.50%
CNY,Fixed Asset Investment ytd/y,15/09/2023 00:00,Low,,3.20%,3.40%,3.40%
CNY,NBS Press Conference,15/09/2023 00:00,Low,,,,
CNY,Unemployment Rate,15/09/2023 00:00,Low,better,5.20%,5.30%,5.30%
JPY,Tertiary Industry Activity m/m,15/09/2023 05:30,Low,better,0.90%,0.20%,-0.70%
EUR,French Final CPI m/m,15/09/2023 07:45,Low,,1.00%,1.00%,1.00%
GBP,Consumer Inflation Expectations,15/09/2023 09:30,Low,,3.60%,,3.50%
CNY,Foreign Direct Investment ytd/y,15/09/2023 09:51,Low,,-5.10%,,-4.00%
EUR,Trade Balance,15/09/2023 10:00,Low,worse,2.9B,13.5B,8.6B
EUR,Italian Trade Balance,15/09/2023 00:00,Low,worse,6.38B,6.50B,3.46B
EUR,ECOFIN Meetings,15/09/2023 00:00,Low,,,,
EUR,Eurogroup Meetings,15/09/2023 00:00,Low,,,,
EUR,ECB President Lagarde Speaks,15/09/2023 10:45,Medium,,,,
CAD,Foreign Securities Purchases,15/09/2023 13:30,Low,worse,11.62B,12.41B,12.61B
CAD,Manufacturing Sales m/m,15/09/2023 00:00,Low,better,1.60%,0.70%,-2.00%
USD,Empire State Manufacturing Index,15/09/2023 00:00,High,better,1.9,-9.9,-19
USD,Import Prices m/m,15/09/2023 00:00,Low,better,0.50%,0.30%,0.10%
USD,Industrial Production m/m,15/09/2023 14:15,Medium,better,0.40%,0.10%,0.70%
USD,Capacity Utilization Rate,15/09/2023 00:00,Low,better,79.70%,79.30%,79.50%
USD,Prelim UoM Consumer Sentiment,15/09/2023 15:00,High,worse,67.7,69,69.5
USD,Prelim UoM Inflation Expectations,15/09/2023 00:00,Medium,,3.10%,,3.50%
GBP,RICS House Price Balance,14/09/2023 00:01,Low,worse,-68%,-55%,-55%
JPY,Core Machinery Orders m/m,14/09/2023 00:50,Low,worse,-1.10%,-0.70%,2.70%
AUD,MI Inflation Expectations,14/09/2023 02:00,Low,,4.60%,,4.90%
AUD,Employment Change,14/09/2023 02:30,High,better,64.9K,25.4K,-1.4K
AUD,Unemployment Rate,14/09/2023 00:00,High,,3.70%,3.70%,3.70%
JPY,Revised Industrial Production m/m,14/09/2023 05:30,Low,better,-1.80%,-2.00%,-2.00%
CHF,PPI m/m,14/09/2023 07:30,Low,worse,-0.20%,0.10%,-0.10%
EUR,Main Refinancing Rate,14/09/2023 13:15,High,better,4.50%,4.25%,4.25%
EUR,Monetary Policy Statement,14/09/2023 00:00,High,,,,
CAD,Wholesale Sales m/m,14/09/2023 13:30,Low,worse,0.20%,1.20%,-2.80%
USD,Core PPI m/m,14/09/2023 00:00,High,,0.20%,0.20%,0.40%
USD,Core Retail Sales m/m,14/09/2023 00:00,High,better,0.60%,0.40%,0.70%
USD,PPI m/m,14/09/2023 00:00,High,better,0.70%,0.40%,0.40%
USD,Retail Sales m/m,14/09/2023 00:00,High,better,0.60%,0.10%,0.50%
USD,Unemployment Claims,14/09/2023 00:00,High,better,220K,226K,217K
EUR,ECB Press Conference,14/09/2023 13:45,High,,,,
USD,Business Inventories m/m,14/09/2023 15:00,Low,better,0.00%,0.10%,0.00%
USD,Natural Gas Storage,14/09/2023 15:30,Low,worse,57B,51B,33B
NZD,BusinessNZ Manufacturing Index,14/09/2023 23:30,Low,,46.1,,46.6
JPY,BSI Manufacturing Index,13/09/2023 00:50,Low,better,5.4,0.2,-0.4
JPY,PPI y/y,13/09/2023 00:00,Low,,3.20%,3.30%,3.40%
GBP,GDP m/m,13/09/2023 07:00,High,worse,-0.50%,-0.20%,0.50%
GBP,Construction Output m/m,13/09/2023 00:00,Low,,-0.50%,-0.50%,1.60%
GBP,Goods Trade Balance,13/09/2023 00:00,Low,better,-14.1B,-15.9B,-15.5B
GBP,Index of Services 3m/3m,13/09/2023 00:00,Low,worse,0.10%,0.20%,0.10%
GBP,Industrial Production m/m,13/09/2023 00:00,Low,worse,-0.70%,-0.60%,1.80%
GBP,Manufacturing Production m/m,13/09/2023 00:00,Low,better,-0.80%,-0.90%,2.40%
EUR,Italian Quarterly Unemployment Rate,13/09/2023 09:00,Low,better,7.60%,8.00%,7.90%
EUR,Industrial Production m/m,13/09/2023 10:00,Low,worse,-1.10%,-0.80%,0.40%
GBP,10-y Bond Auction,13/09/2023 10:02,Low,,4.40|2.4,,4.35|2.6
EUR,German 30-y Bond Auction,13/09/2023 10:42,Low,,2.79|2.3,,2.68|2.2
GBP,NIESR GDP Estimate,13/09/2023 12:05,Low,,0.20%,,0.20%
USD,Core CPI m/m,13/09/2023 13:30,High,better,0.30%,0.20%,0.20%
USD,CPI m/m,13/09/2023 00:00,High,,0.60%,0.60%,0.20%
USD,CPI y/y,13/09/2023 00:00,High,better,3.70%,3.60%,3.20%
GBP,CB Leading Index m/m,13/09/2023 14:30,Low,,-0.80%,,-0.90%
USD,Crude Oil Inventories,13/09/2023 15:30,Low,worse,4.0M,-2.2M,-6.3M
USD,30-y Bond Auction,13/09/2023 18:01,Low,,4.35|2.5,,4.19|2.4
USD,Federal Budget Balance,13/09/2023 19:00,Low,worse,89.3B,-251.0B,-220.8B
GBP,MPC Member Mann Speaks,12/09/2023 00:00,Low,,,,
AUD,Westpac Consumer Sentiment,12/09/2023 01:30,Low,,-1.50%,,-0.40%
AUD,NAB Business Confidence,12/09/2023 02:30,Medium,,2,,1
EUR,German WPI m/m,12/09/2023 07:00,Low,better,0.20%,-0.10%,-0.20%
GBP,Claimant Count Change,12/09/2023 00:00,High,better,0.9K,17.1K,7.3K
GBP,Average Earnings Index 3m/y,12/09/2023 00:00,Medium,better,8.50%,8.20%,8.40%
GBP,Unemployment Rate,12/09/2023 00:00,Low,,4.30%,4.30%,4.20%
EUR,German ZEW Economic Sentiment,12/09/2023 10:00,Medium,better,-11.4,-15,-12.3
EUR,ZEW Economic Sentiment,12/09/2023 00:00,Low,worse,-8.9,-6.2,-5.5
USD,NFIB Small Business Index,12/09/2023 11:00,Low,,91.3,91.6,91.9
USD,10-y Bond Auction,12/09/2023 18:01,Low,,4.29|2.5,,4.00|2.6
NZD,FPI m/m,12/09/2023 23:45,Low,,0.50%,,-0.50%
JPY,M2 Money Stock y/y,11/09/2023 00:50,Low,,2.50%,2.50%,2.50%
CNY,New Loans,11/09/2023 05:41,Medium,better,1360B,1275B,346B
CNY,M2 Money Supply y/y,11/09/2023 00:00,Low,,10.60%,10.70%,10.70%
JPY,Prelim Machine Tool Orders y/y,11/09/2023 06:57,Low,,-17.60%,,-19.70%
EUR,Italian Industrial Production m/m,11/09/2023 09:00,Low,worse,-0.70%,-0.20%,0.50%
EUR,EU Economic Forecasts,11/09/2023 10:00,Low,,,,
NZD,Visitor Arrivals m/m,11/09/2023 23:45,Low,,19.80%,,11.30%
All,G20 Meetings,10/09/2023 00:00,Medium,,,,
CNY,CPI y/y,09/09/2023 02:30,High,worse,0.10%,0.20%,-0.30%
CNY,PPI y/y,09/09/2023 00:00,Medium,,-3.00%,-3.00%,-4.40%
All,G20 Meetings,09/09/2023 00:00,Medium,,,,
USD,FOMC Member Logan Speaks,08/09/2023 00:05,Low,,,,
JPY,Average Cash Earnings y/y,08/09/2023 00:30,Low,worse,1.30%,2.40%,2.30%
JPY,Bank Lending y/y,08/09/2023 00:50,Low,better,3.10%,2.80%,2.90%
JPY,Current Account,08/09/2023 00:00,Low,better,2.77T,2.24T,2.35T
JPY,Final GDP Price Index y/y,08/09/2023 00:00,Low,better,3.50%,3.40%,3.40%
JPY,Final GDP q/q,08/09/2023 00:00,Low,worse,1.20%,1.40%,1.50%
JPY,Economy Watchers Sentiment,08/09/2023 06:00,Low,worse,53.6,54.4,54.4
EUR,German Final CPI m/m,08/09/2023 07:00,Low,,0.30%,0.30%,0.30%
EUR,French Industrial Production m/m,08/09/2023 07:45,Low,better,0.80%,0.20%,-0.90%
CAD,Employment Change,08/09/2023 13:30,High,better,39.9K,18.9K,-6.4K
CAD,Unemployment Rate,08/09/2023 00:00,High,better,5.50%,5.60%,5.50%
CAD,Capacity Utilization Rate,08/09/2023 00:00,Low,worse,81.40%,82.50%,81.80%
USD,FOMC Member Barr Speaks,08/09/2023 14:00,Low,,,,
USD,Final Wholesale Inventories m/m,08/09/2023 15:00,Low,better,-0.20%,-0.10%,-0.10%
USD,Consumer Credit m/m,08/09/2023 20:00,Low,worse,10.4B,16.1B,14.0B
AUD,Goods Trade Balance,07/09/2023 02:30,Medium,worse,8.04B,10.05B,10.27B
CNY,USD-Denominated Trade Balance,07/09/2023 04:00,Low,worse,68.4B,74.1B,80.6B
CNY,Trade Balance,07/09/2023 04:01,Low,worse,488B,541B,576B
AUD,RBA Gov Lowe Speaks,07/09/2023 04:10,Medium,,,,
JPY,30-y Bond Auction,07/09/2023 04:35,Low,,1.64|3.5,,1.59|3.5
JPY,Leading Indicators,07/09/2023 06:00,Low,,107.60%,107.90%,108.90%
EUR,French Final Private Payrolls q/q,07/09/2023 06:30,Low,worse,0.10%,0.20%,0.10%
CHF,Unemployment Rate,07/09/2023 06:45,Low,,2.10%,2.10%,2.10%
EUR,German Industrial Production m/m,07/09/2023 07:00,Low,worse,-0.80%,-0.40%,-1.40%
GBP,Halifax HPI m/m,07/09/2023 00:00,Low,worse,-1.90%,-0.10%,-0.40%
EUR,French Trade Balance,07/09/2023 07:45,Low,worse,-8.1B,-6.8B,-6.8B
CHF,Foreign Currency Reserves,07/09/2023 08:00,Medium,,694B,,698B
EUR,Italian Retail Sales m/m,07/09/2023 09:00,Low,better,0.40%,0.20%,-0.20%
